filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F150W,1.501,0.318,2022-08-30T04:32:14.282Z,NRCA4,2048,2048,0.0857278332114219,0.085424654,jw02738002002_02101_00002_nrca4_rate.fits,2,2,NIRCAM,418.734,2.1021,0.18020847819372998
F200W,1.989,0.457,2022-08-26T04:24:14.188Z,NRCA3,2048,2048,0.07183248,0.07122419,jw02738002001_12101_00003_nrca3_rate.fits,2,1,NIRCAM,418.734,1.8281,0.131316956688
F200W,1.989,0.457,2022-08-26T04:15:49.548Z,NRCA4,2048,2048,0.07318774,0.07268686,jw02738002001_12101_00002_nrca4_rate.fits,2,1,NIRCAM,418.734,1.8054,0.132133145796
F150W,1.501,0.318,2022-08-30T04:32:14.282Z,NRCB1,2048,2048,0.0696108,0.06931706,jw02738002002_02101_00002_nrcb1_rate.fits,2,2,NIRCAM,418.734,2.4124,0.16792909392
F200W,1.989,0.457,2022-08-26T02:54:56.497Z,NRCA3,2048,2048,0.0740108266472816,0.073533475,jw02738002001_08101_00004_nrca3_rate.fits,2,1,NIRCAM,418.734,1.8281,0.1352991921938955
F090W,0.902,0.194,2022-08-26T00:52:11.002Z,NRCB3,2048,2048,0.053694144,0.053341564,jw02738002001_04101_00001_nrcb3_rate.fits,2,1,NIRCAM,730.1,3.4248,0.18389170437119998
F115W,1.154,0.225,2022-08-26T03:49:09.671Z,NRCB3,2048,2048,0.0590153634548187,0.058560096,jw02738002001_10101_00004_nrcb3_rate.fits,2,1,NIRCAM,730.1,3.1863,0.18804065257608882
F090W,0.902,0.194,2022-08-26T01:05:47.129Z,NRCA2,2048,2048,0.0511462390422821,0.050983604,jw02738002001_04101_00002_nrca2_rate.fits,2,1,NIRCAM,730.1,3.2824,0.16788241503238677
F090W,0.902,0.194,2022-08-26T01:32:59.127Z,NRCA3,2048,2048,0.057825208,0.057573054,jw02738002001_04101_00004_nrca3_rate.fits,2,1,NIRCAM,730.1,2.954,0.17081566443200003
F200W,1.989,0.457,2022-08-26T02:29:31.824Z,NRCB3,2048,2048,0.0708067715167999,0.07026046,jw02738002001_08101_00001_nrcb3_rate.fits,2,1,NIRCAM,418.734,1.9572,0.13858301321268077
F277W,2.762,0.683,2022-08-26T04:32:38.699Z,NRCBLONG,2048,2048,0.18617694,0.18506414,jw02738002001_12101_00004_nrcblong_rate.fits,2,1,NIRCAM,418.734,0.4175,0.07772887245
F115W,1.154,0.225,2022-08-26T03:21:36.169Z,NRCB2,2048,2048,0.060808975,0.0605816,jw02738002001_10101_00002_nrcb2_rate.fits,2,1,NIRCAM,730.1,3.1282,0.19022263559500002
F200W,1.989,0.457,2022-08-26T02:37:56.530Z,NRCA2,2048,2048,0.0584735535085201,0.05835563,jw02738002001_08101_00002_nrca2_rate.fits,2,1,NIRCAM,418.734,2.0807,0.12166592278517778
F150W,1.501,0.318,2022-08-26T01:59:49.564Z,NRCB4,2048,2048,0.09152227,0.09066448,jw02738002001_06101_00002_nrcb4_rate.fits,2,1,NIRCAM,418.734,2.0288,0.185680381376
F150W,1.501,0.318,2022-08-26T00:30:42.625Z,NRCB3,2048,2048,0.0742300599813461,0.07364355,jw02738002001_02101_00003_nrcb3_rate.fits,2,1,NIRCAM,418.734,2.3518,0.17457425506412977
F115W,1.154,0.225,2022-08-26T03:07:49.546Z,NRCA3,2048,2048,0.0593740493059158,0.059033785,jw02738002001_10101_00001_nrca3_rate.fits,2,1,NIRCAM,730.1,2.9486,0.17507032178342333
F150W,1.501,0.318,2022-08-26T00:22:18.114Z,NRCA1,2048,2048,0.0783040076494216,0.07805603,jw02738002001_02101_00002_nrca1_rate.fits,2,1,NIRCAM,418.734,2.2512,0.1762779820203779
F356W,3.568,0.781,2022-08-26T02:08:14.268Z,NRCALONG,2048,2048,0.2138324081897735,0.21352303,jw02738002001_06101_00003_nrcalong_rate.fits,2,1,NIRCAM,418.734,0.4047,0.08653797559440134
F444W,4.408,1.029,2022-08-26T01:32:58.999Z,NRCBLONG,2048,2048,0.6919452548027039,0.69213486,jw02738002001_04101_00004_nrcblong_rate.fits,2,1,NIRCAM,730.1,0.3728,0.257957190990448
F150W,1.501,0.318,2022-08-26T00:22:17.986Z,NRCB4,2048,2048,0.0871334,0.08626213,jw02738002001_02101_00002_nrcb4_rate.fits,2,1,NIRCAM,418.734,2.0288,0.17677624192
F410M,4.082,0.438,2022-08-26T03:35:23.048Z,NRCALONG,2048,2048,0.16500524,0.16515715,jw02738002001_10101_00003_nrcalong_rate.fits,2,1,NIRCAM,730.1,0.8704,0.14362056089599998
F150W,1.501,0.318,2022-08-26T01:59:49.628Z,NRCA1,2048,2048,0.0660637021064758,0.06585547,jw02738002001_06101_00002_nrca1_rate.fits,2,1,NIRCAM,418.734,2.2512,0.14872260618209832
F150W,1.501,0.318,2022-08-26T02:08:14.204Z,NRCB3,2048,2048,0.0780177,0.07745381,jw02738002001_06101_00003_nrcb3_rate.fits,2,1,NIRCAM,418.734,2.3518,0.18348202685999998
F200W,1.989,0.457,2022-08-26T04:07:14.093Z,NRCB2,2048,2048,0.0687970519065857,0.068327464,jw02738002001_12101_00001_nrcb2_rate.fits,2,1,NIRCAM,418.734,1.9519,0.1342849656164646
F115W,1.154,0.225,2022-08-26T03:49:09.671Z,NRCB4,2048,2048,0.0690800175070762,0.06844733,jw02738002001_10101_00004_nrcb4_rate.fits,2,1,NIRCAM,730.1,2.6985,0.18641242724284512
F356W,3.568,0.781,2022-08-26T00:30:42.625Z,NRCBLONG,2048,2048,0.2419217,0.24079658,jw02738002001_02101_00003_nrcblong_rate.fits,2,1,NIRCAM,418.734,0.376,0.0909625592
F150W,1.501,0.318,2022-08-26T02:16:38.779Z,NRCB2,2048,2048,0.069203570485115,0.06871771,jw02738002001_06101_00004_nrcb2_rate.fits,2,1,NIRCAM,418.734,2.3054,0.15954191139638413
F200W,1.989,0.457,2022-08-26T02:54:56.497Z,NRCA4,2048,2048,0.07354414,0.07306093,jw02738002001_08101_00004_nrca4_rate.fits,2,1,NIRCAM,418.734,1.8054,0.13277659035599998
F356W,3.568,0.781,2022-08-30T04:32:14.282Z,NRCALONG,2048,2048,0.21315196,0.21277294,jw02738002002_02101_00002_nrcalong_rate.fits,2,2,NIRCAM,418.734,0.4047,0.086262598212
F090W,0.902,0.194,2022-08-26T00:52:11.066Z,NRCB4,2048,2048,0.057846807,0.05750297,jw02738002001_04101_00001_nrcb4_rate.fits,2,1,NIRCAM,730.1,3.0434,0.1760509724238
F200W,1.989,0.457,2022-08-26T04:24:14.060Z,NRCB1,2048,2048,0.0765400752425193,0.076087736,jw02738002001_12101_00003_nrcb1_rate.fits,2,1,NIRCAM,418.734,2.0223,0.15478699416294678
F200W,1.989,0.457,2022-08-26T04:15:49.548Z,NRCA3,2048,2048,0.0716703832149505,0.071154304,jw02738002001_12101_00002_nrca3_rate.fits,2,1,NIRCAM,418.734,1.8281,0.131020627555251
F444W,4.408,1.029,2022-08-26T00:52:00.378Z,NRCALONG,2048,2048,0.6674013137817383,0.67116743,jw02738002001_04101_00001_nrcalong_rate.fits,2,1,NIRCAM,730.1,0.3925,0.26195501565933227
F115W,1.154,0.225,2022-08-26T03:49:09.799Z,NRCA1,2048,2048,0.060382422,0.060223084,jw02738002001_10101_00004_nrca1_rate.fits,2,1,NIRCAM,730.1,2.9628,0.1789010399016
F150W,1.501,0.318,2022-08-30T04:23:38.890Z,NRCB2,2048,2048,0.07067063,0.07032937,jw02738002002_02101_00001_nrcb2_rate.fits,2,2,NIRCAM,418.734,2.3054,0.162924070402
F090W,0.902,0.194,2022-08-26T01:19:23.128Z,NRCA2,2048,2048,0.0536649599671363,0.053509563,jw02738002001_04101_00003_nrca2_rate.fits,2,1,NIRCAM,730.1,3.2824,0.1761498645961282
F150W,1.501,0.318,2022-08-30T04:32:14.282Z,NRCA3,2048,2048,0.07639944,0.076021016,jw02738002002_02101_00002_nrca3_rate.fits,2,2,NIRCAM,418.734,2.2037,0.168361445928
F200W,1.989,0.457,2022-08-26T04:24:14.188Z,NRCA4,2048,2048,0.07529819,0.07483489,jw02738002001_12101_00003_nrca4_rate.fits,2,1,NIRCAM,418.734,1.8054,0.13594335222599999
F150W,1.501,0.318,2022-08-26T00:39:07.265Z,NRCB2,2048,2048,0.07007988,0.0696563,jw02738002001_02101_00004_nrcb2_rate.fits,2,1,NIRCAM,418.734,2.3054,0.161562155352
F356W,3.568,0.781,2022-08-30T04:23:38.890Z,NRCBLONG,2048,2048,0.2367387413978576,0.23588729,jw02738002002_02101_00001_nrcblong_rate.fits,2,2,NIRCAM,418.734,0.376,0.08901376676559446
F277W,2.762,0.683,2022-08-26T04:07:14.221Z,NRCALONG,2048,2048,0.16178836,0.16154575,jw02738002001_12101_00001_nrcalong_rate.fits,2,1,NIRCAM,418.734,0.4908,0.07940572708799999
F444W,4.408,1.029,2022-08-26T01:05:47.001Z,NRCBLONG,2048,2048,0.6907316446304321,0.69095594,jw02738002001_04101_00002_nrcblong_rate.fits,2,1,NIRCAM,730.1,0.3728,0.2575047571182251
F200W,1.989,0.457,2022-08-26T02:54:56.369Z,NRCB1,2048,2048,0.0655504316091537,0.06523922,jw02738002001_08101_00004_nrcb1_rate.fits,2,1,NIRCAM,418.734,2.0223,0.13256263784319153
F090W,0.902,0.194,2022-08-26T00:52:00.378Z,NRCA1,2048,2048,0.054201,0.054062434,jw02738002001_04101_00001_nrca1_rate.fits,2,1,NIRCAM,730.1,2.9961,0.1623916161
F200W,1.989,0.457,2022-08-26T02:46:31.921Z,NRCA2,2048,2048,0.0642129331827163,0.063950695,jw02738002001_08101_00003_nrca2_rate.fits,2,1,NIRCAM,418.734,2.0807,0.13360785007327783
F150W,1.501,0.318,2022-08-26T02:08:14.204Z,NRCB4,2048,2048,0.08289375,0.08213078,jw02738002001_06101_00003_nrcb4_rate.fits,2,1,NIRCAM,418.734,2.0288,0.16817484
F150W,1.501,0.318,2022-08-26T00:22:17.986Z,NRCB3,2048,2048,0.0758558735251426,0.07530376,jw02738002001_02101_00002_nrcb3_rate.fits,2,1,NIRCAM,418.734,2.3518,0.17839784335643036
F115W,1.154,0.225,2022-08-26T03:07:49.418Z,NRCB1,2048,2048,0.056640346,0.056488004,jw02738002001_10101_00001_nrcb1_rate.fits,2,1,NIRCAM,730.1,3.2719,0.1853215480774
F150W,1.501,0.318,2022-08-26T00:30:42.689Z,NRCA1,2048,2048,0.07642055,0.07613343,jw02738002001_02101_00003_nrca1_rate.fits,2,1,NIRCAM,418.734,2.2512,0.17203794215999998
F090W,0.902,0.194,2022-08-26T01:32:58.999Z,NRCB1,2048,2048,0.0483024,0.048157543,jw02738002001_04101_00004_nrcb1_rate.fits,2,1,NIRCAM,730.1,3.564,0.1721497536
F200W,1.989,0.457,2022-08-26T02:29:31.952Z,NRCA1,2048,2048,0.064512886,0.064151704,jw02738002001_08101_00001_nrca1_rate.fits,2,1,NIRCAM,418.734,1.8917,0.1220390264462
F115W,1.154,0.225,2022-08-26T03:35:22.920Z,NRCB2,2048,2048,0.0590761005878448,0.058884602,jw02738002001_10101_00003_nrcb2_rate.fits,2,1,NIRCAM,730.1,3.1282,0.1848018578588961
F150W,1.501,0.318,2022-08-26T00:13:42.722Z,NRCA2,2048,2048,0.0705951228737831,0.07031888,jw02738002001_02101_00001_nrca2_rate.fits,2,1,NIRCAM,418.734,2.3836,0.16827053488194937
F115W,1.154,0.225,2022-08-26T03:07:49.546Z,NRCA4,2048,2048,0.06658598,0.06628123,jw02738002001_10101_00001_nrca4_rate.fits,2,1,NIRCAM,730.1,2.7757,0.184822704686
F150W,1.501,0.318,2022-08-26T00:30:42.625Z,NRCB4,2048,2048,0.0856442749500274,0.08494214,jw02738002001_02101_00003_nrcb4_rate.fits,2,1,NIRCAM,418.734,2.0288,0.17375510501861557
F200W,1.989,0.457,2022-08-26T04:32:38.827Z,NRCA2,2048,2048,0.061028644,0.060955264,jw02738002001_12101_00004_nrca2_rate.fits,2,1,NIRCAM,418.734,2.0807,0.1269822995708
F150W,1.501,0.318,2022-08-26T02:08:14.268Z,NRCA1,2048,2048,0.078813761472702,0.07855454,jw02738002001_06101_00003_nrca1_rate.fits,2,1,NIRCAM,418.734,2.2512,0.17742553982734674
F150W,1.501,0.318,2022-08-26T01:59:49.564Z,NRCB3,2048,2048,0.0712072998285293,0.07065969,jw02738002001_06101_00002_nrcb3_rate.fits,2,1,NIRCAM,418.734,2.3518,0.1674653277367352
F277W,2.762,0.683,2022-08-26T02:46:31.921Z,NRCALONG,2048,2048,0.16269906,0.16241279,jw02738002001_08101_00003_nrcalong_rate.fits,2,1,NIRCAM,418.734,0.4908,0.079852698648
F090W,0.902,0.194,2022-08-26T01:32:59.127Z,NRCA4,2048,2048,0.0566914826631546,0.05645315,jw02738002001_04101_00004_nrca4_rate.fits,2,1,NIRCAM,730.1,2.9096,0.16494953795671463
F200W,1.989,0.457,2022-08-26T02:29:31.824Z,NRCB4,2048,2048,0.0751440376043319,0.07433066,jw02738002001_08101_00001_nrcb4_rate.fits,2,1,NIRCAM,418.734,1.7715,0.13311766261607397
