filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F090W 0.902 0.194 2022-06-28T23:55:07.869Z NRCB3 2048 2048 0.06795953 0.06758492 jw01324001001_04201_00002_nrcb3_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-29T00:42:00.973Z NRCB4 2048 2048 0.07270921 0.07230797 jw01324001001_05201_00002_nrcb4_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T06:06:37.639Z NRCA4 2048 2048 0.08433440327644348 0.084045604 jw01324001001_12201_00001_nrca4_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T04:23:11.757Z NRCA2 2048 2048 0.07948307693004608 0.079767376 jw01324001001_10201_00004_nrca2_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T08:29:46.803Z NRCB2 2048 2048 0.11273941397666931 0.11191864 jw01324001001_16201_00003_nrcb2_rate.fits 001 001 NIRCAM 311.366
F200W 1.989 0.457 2022-06-29T10:35:24.268Z NRCA4 2048 2048 0.10287334024906158 0.10213779 jw01324001001_18201_00003_nrca4_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-28T23:47:58.558Z NRCA2 2048 2048 0.057600394 0.057234418 jw01324001001_04201_00001_nrca2_rate.fits 001 001 NIRCAM 311.366
F277W 2.762 0.683 2022-06-29T09:10:13.539Z NRCALONG 2048 2048 0.23769181966781616 0.23829512 jw01324001001_17201_00002_nrcalong_rate.fits 001 001 NIRCAM 1159.571
F277W 2.762 0.683 2022-06-29T10:20:54.637Z NRCALONG 2048 2048 0.23907173 0.23889822 jw01324001001_18201_00001_nrcalong_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T06:06:37.447Z NRCB1 2048 2048 0.080440074 0.080555476 jw01324001001_12201_00001_nrcb1_rate.fits 001 001 NIRCAM 311.366
F444W 4.408 1.029 2022-06-29T05:18:29.436Z NRCALONG 2048 2048 0.7469938 0.7523882 jw01324001001_11201_00003_nrcalong_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T00:42:01.101Z NRCA1 2048 2048 0.07045619189739227 0.07037238 jw01324001001_05201_00002_nrca1_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T01:05:05.995Z NRCB3 2048 2048 0.06734433025121689 0.06716184 jw01324001001_05201_00003_nrcb3_rate.fits 001 001 NIRCAM 1159.571
F150W 1.501 0.318 2022-06-29T08:15:06.612Z NRCA4 2048 2048 0.11656066 0.11604117 jw01324001001_16201_00001_nrca4_rate.fits 001 001 NIRCAM 311.366
F200W 1.989 0.457 2022-06-29T10:20:54.316Z NRCB2 2048 2048 0.09975247085094452 0.09891875 jw01324001001_18201_00001_nrcb2_rate.fits 001 001 NIRCAM 311.366
F200W 1.989 0.457 2022-06-29T08:47:08.516Z NRCA3 2048 2048 0.10201605 0.1016373 jw01324001001_17201_00001_nrca3_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T00:02:17.373Z NRCB4 2048 2048 0.083107196 0.083462216 jw01324001001_04201_00003_nrcb4_rate.fits 001 001 NIRCAM 311.366
F277W 2.762 0.683 2022-06-29T10:28:14.572Z NRCBLONG 2048 2048 0.2740122 0.2720561 jw01324001001_18201_00002_nrcblong_rate.fits 001 001 NIRCAM 311.366
F444W 4.408 1.029 2022-06-29T01:28:00.330Z NRCBLONG 2048 2048 0.7745676 0.7757164 jw01324001001_05201_00004_nrcblong_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T06:20:56.390Z NRCB2 2048 2048 0.07378239 0.07380252 jw01324001001_12201_00003_nrcb2_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-28T23:22:44.689Z NRCA3 2048 2048 0.074775785 0.07459144 jw01324001001_03201_00004_nrca3_rate.fits 001 001 NIRCAM 1159.571
F277W 2.762 0.683 2022-06-29T08:47:08.324Z NRCBLONG 2048 2048 0.27188775 0.27054578 jw01324001001_17201_00001_nrcblong_rate.fits 001 001 NIRCAM 1159.571
F200W 1.989 0.457 2022-06-29T09:10:13.347Z NRCB2 2048 2048 0.09928514808416367 0.09873381 jw01324001001_17201_00002_nrcb2_rate.fits 001 001 NIRCAM 1159.571
