filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F200W,1.989,0.457,2022-06-07T05:33:54.715Z,NRCB3,2048,2048,0.0842536240816116,0.0830753,jw02736001001_02105_00002_nrcb3_rate.fits,1,1,NIRCAM,837.468,1.9572,0.16490119305253023
F200W,1.989,0.457,2022-06-07T07:21:48.949Z,NRCB1,2048,2048,0.08415959,0.08298011,jw02736001001_02105_00009_nrcb1_rate.fits,1,1,NIRCAM,837.468,2.0223,0.17019593885700002
F150W,1.501,0.318,2022-06-07T03:58:21.281Z,NRCB2,2048,2048,0.0863008201122284,0.08531973,jw02736001001_02103_00005_nrcb2_rate.fits,1,1,NIRCAM,837.468,2.3054,0.19895791068673135
F200W,1.989,0.457,2022-06-07T05:49:29.114Z,NRCA1,2048,2048,0.082785316,0.0822078,jw02736001001_02105_00003_nrca1_rate.fits,1,1,NIRCAM,837.468,1.8917,0.1566049822772
F200W,1.989,0.457,2022-06-07T07:06:25.942Z,NRCA3,2048,2048,0.082720235,0.08224419,jw02736001001_02105_00008_nrca3_rate.fits,1,1,NIRCAM,837.468,1.8281,0.1512208616035
F090W,0.902,0.194,2022-06-07T01:36:26.985Z,NRCB4,2048,2048,0.0635355412960052,0.06311311,jw02736001001_02101_00005_nrcb4_rate.fits,1,1,NIRCAM,837.468,3.0434,0.1933640663802622
F356W,3.568,0.781,2022-06-07T02:56:26.660Z,NRCALONG,2048,2048,0.2535195052623749,0.25341564,jw02736001001_02103_00001_nrcalong_rate.fits,1,1,NIRCAM,837.468,0.4047,0.10259934377968312
F356W,3.568,0.781,2022-06-07T04:59:54.717Z,NRCBLONG,2048,2048,0.28840867,0.28436622,jw02736001001_02103_00009_nrcblong_rate.fits,1,1,NIRCAM,837.468,0.376,0.10844165991999999
F090W,0.902,0.194,2022-06-07T00:34:53.805Z,NRCA4,2048,2048,0.0624980926513671,0.06233098,jw02736001001_02101_00001_nrca4_rate.fits,1,1,NIRCAM,837.468,2.9096,0.1818444503784177
F356W,3.568,0.781,2022-06-07T03:42:57.954Z,NRCBLONG,2048,2048,0.2880907654762268,0.28381282,jw02736001001_02103_00004_nrcblong_rate.fits,1,1,NIRCAM,837.468,0.376,0.10832212781906128
F200W,1.989,0.457,2022-06-07T06:35:39.223Z,NRCA3,2048,2048,0.08197174,0.08154962,jw02736001001_02105_00006_nrca3_rate.fits,1,1,NIRCAM,837.468,1.8281,0.14985253789400002
F200W,1.989,0.457,2022-06-07T06:51:02.231Z,NRCB1,2048,2048,0.08187207,0.08091739,jw02736001001_02105_00007_nrcb1_rate.fits,1,1,NIRCAM,837.468,2.0223,0.16556988716100002
F150W,1.501,0.318,2022-06-07T02:56:26.596Z,NRCA2,2048,2048,0.0801413208246231,0.07982546,jw02736001001_02103_00001_nrca2_rate.fits,1,1,NIRCAM,837.468,2.3836,0.1910248523175716
F277W,2.762,0.683,2022-06-07T01:36:27.305Z,NRCALONG,2048,2048,0.1930477,0.19286248,jw02736001001_02101_00005_nrcalong_rate.fits,1,1,NIRCAM,837.468,0.4908,0.09474781116
