filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F200W 1.989 0.457 2022-06-07T06:20:15.832Z NRCA4 2048 2048 0.08924553 0.08887725 jw02736001001_02105_00005_nrca4_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T02:22:37.094Z NRCB3 2048 2048 0.05751810222864151 0.05707892 jw02736001001_02101_00008_nrcb3_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T01:05:40.267Z NRCB1 2048 2048 0.055657703429460526 0.055091996 jw02736001001_02101_00003_nrcb1_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T02:38:00.741Z NRCA1 2048 2048 0.059007104 0.058777936 jw02736001001_02101_00009_nrca1_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T00:50:17.196Z NRCA3 2048 2048 0.062175654 0.062012568 jw02736001001_02101_00002_nrca3_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T02:56:26.340Z NRCB4 2048 2048 0.100865304 0.09974047 jw02736001001_02103_00001_nrcb4_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T00:34:53.548Z NRCB2 2048 2048 0.056798577 0.056425992 jw02736001001_02101_00001_nrcb2_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T02:38:00.485Z NRCB4 2048 2048 0.06071742 0.060319394 jw02736001001_02101_00009_nrcb4_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T01:05:40.523Z NRCA4 2048 2048 0.06256375 0.06238278 jw02736001001_02101_00003_nrca4_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T06:20:15.512Z NRCB1 2048 2048 0.08454201 0.08330414 jw02736001001_02105_00005_nrcb1_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T03:27:34.818Z NRCA2 2048 2048 0.08498405665159225 0.08461117 jw02736001001_02103_00003_nrca2_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T06:04:52.505Z NRCA3 2048 2048 0.08222336 0.08172184 jw02736001001_02105_00004_nrca3_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T04:59:54.717Z NRCB2 2048 2048 0.08591431 0.08517365 jw02736001001_02103_00009_nrcb2_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T02:56:26.660Z NRCA1 2048 2048 0.08616218715906143 0.08573991 jw02736001001_02103_00001_nrca1_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T06:51:02.231Z NRCB2 2048 2048 0.08018530905246735 0.079307914 jw02736001001_02105_00007_nrcb2_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T04:13:44.608Z NRCB2 2048 2048 0.0836511105298996 0.08283886 jw02736001001_02103_00006_nrcb2_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T05:18:31.324Z NRCB3 2048 2048 0.08177679 0.080843754 jw02736001001_02105_00001_nrcb3_rate.fits 001 001 NIRCAM 837.468
F356W 3.568 0.781 2022-06-07T04:13:44.672Z NRCBLONG 2048 2048 0.2879854142665863 0.28381035 jw02736001001_02103_00006_nrcblong_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T01:51:50.376Z NRCB4 2048 2048 0.06550440937280655 0.06494987 jw02736001001_02101_00006_nrcb4_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T03:42:57.890Z NRCB1 2048 2048 0.08909048 0.08790111 jw02736001001_02103_00004_nrcb1_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T05:33:55.035Z NRCA2 2048 2048 0.07374198734760284 0.073458344 jw02736001001_02105_00002_nrca2_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T03:58:21.537Z NRCA3 2048 2048 0.086852536 0.08651827 jw02736001001_02103_00005_nrca3_rate.fits 001 001 NIRCAM 837.468
F444W 4.408 1.029 2022-06-07T07:21:49.013Z NRCBLONG 2048 2048 0.6438724398612976 0.6418488 jw02736001001_02105_00009_nrcblong_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T07:06:25.622Z NRCB2 2048 2048 0.07909661531448364 0.078312576 jw02736001001_02105_00008_nrcb2_rate.fits 001 001 NIRCAM 837.468
F277W 2.762 0.683 2022-06-07T02:07:14.023Z NRCALONG 2048 2048 0.19489516 0.19470164 jw02736001001_02101_00007_nrcalong_rate.fits 001 001 NIRCAM 837.468
F444W 4.408 1.029 2022-06-07T06:04:52.185Z NRCBLONG 2048 2048 0.64119405 0.6387054 jw02736001001_02105_00004_nrcblong_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T01:51:50.632Z NRCA1 2048 2048 0.06025633215904236 0.060041744 jw02736001001_02101_00006_nrca1_rate.fits 001 001 NIRCAM 837.468
F356W 3.568 0.781 2022-06-07T03:58:21.601Z NRCALONG 2048 2048 0.25444892048835754 0.25433666 jw02736001001_02103_00005_nrcalong_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T02:07:13.703Z NRCB3 2048 2048 0.05514330416917801 0.05475746 jw02736001001_02101_00007_nrcb3_rate.fits 001 001 NIRCAM 837.468
F356W 3.568 0.781 2022-06-07T04:44:31.710Z NRCALONG 2048 2048 0.25248525 0.2524098 jw02736001001_02103_00008_nrcalong_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T01:21:03.914Z NRCA2 2048 2048 0.053162873 0.053055435 jw02736001001_02101_00004_nrca2_rate.fits 001 001 NIRCAM 837.468
F277W 2.762 0.683 2022-06-07T02:38:00.485Z NRCBLONG 2048 2048 0.23056203 0.22548032 jw02736001001_02101_00009_nrcblong_rate.fits 001 001 NIRCAM 837.468
F277W 2.762 0.683 2022-06-07T01:21:03.658Z NRCBLONG 2048 2048 0.23369157314300537 0.2281325 jw02736001001_02101_00004_nrcblong_rate.fits 001 001 NIRCAM 837.468
F444W 4.408 1.029 2022-06-07T06:51:02.614Z NRCALONG 2048 2048 0.6124082207679749 0.61475444 jw02736001001_02105_00007_nrcalong_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T03:42:58.210Z NRCA4 2048 2048 0.0922737 0.091912664 jw02736001001_02103_00004_nrca4_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T03:27:34.818Z NRCA4 2048 2048 0.095578924 0.09521273 jw02736001001_02103_00003_nrca4_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T04:59:54.717Z NRCB4 2048 2048 0.10090333 0.099812925 jw02736001001_02103_00009_nrcb4_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T02:38:00.421Z NRCB2 2048 2048 0.057464283 0.05708926 jw02736001001_02101_00009_nrcb2_rate.fits 001 001 NIRCAM 837.468
F356W 3.568 0.781 2022-06-07T04:13:44.928Z NRCALONG 2048 2048 0.252017080783844 0.2518539 jw02736001001_02103_00006_nrcalong_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T01:05:40.523Z NRCA2 2048 2048 0.05903105437755585 0.05882904 jw02736001001_02101_00003_nrca2_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T06:51:02.295Z NRCB4 2048 2048 0.0939301997423172 0.091933176 jw02736001001_02105_00007_nrcb4_rate.fits 001 001 NIRCAM 837.468
F444W 4.408 1.029 2022-06-07T06:04:52.505Z NRCALONG 2048 2048 0.6122974 0.61447877 jw02736001001_02105_00004_nrcalong_rate.fits 001 001 NIRCAM 837.468
F277W 2.762 0.683 2022-06-07T02:07:13.767Z NRCBLONG 2048 2048 0.23182857036590576 0.22681814 jw02736001001_02101_00007_nrcblong_rate.fits 001 001 NIRCAM 837.468
F444W 4.408 1.029 2022-06-07T07:21:49.333Z NRCALONG 2048 2048 0.61110365 0.6132723 jw02736001001_02105_00009_nrcalong_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T00:34:53.805Z NRCA1 2048 2048 0.06118578836321831 0.060962256 jw02736001001_02101_00001_nrca1_rate.fits 001 001 NIRCAM 837.468
F356W 3.568 0.781 2022-06-07T04:44:31.390Z NRCBLONG 2048 2048 0.2866992652416229 0.28286612 jw02736001001_02103_00008_nrcblong_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T04:59:55.037Z NRCA1 2048 2048 0.08054687082767487 0.08007142 jw02736001001_02103_00009_nrca1_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T03:12:00.739Z NRCA3 2048 2048 0.08444355 0.084094994 jw02736001001_02103_00002_nrca3_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T06:20:15.832Z NRCA2 2048 2048 0.07551814 0.075323075 jw02736001001_02105_00005_nrca2_rate.fits 001 001 NIRCAM 837.468
F356W 3.568 0.781 2022-06-07T03:58:21.281Z NRCBLONG 2048 2048 0.28900537 0.28480378 jw02736001001_02103_00005_nrcblong_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T04:44:31.326Z NRCB3 2048 2048 0.08638609945774078 0.085497834 jw02736001001_02103_00008_nrcb3_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T03:27:34.498Z NRCB1 2048 2048 0.08891329 0.08765637 jw02736001001_02103_00003_nrcb1_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T00:34:53.548Z NRCB4 2048 2048 0.06361868232488632 0.063134685 jw02736001001_02101_00001_nrcb4_rate.fits 001 001 NIRCAM 837.468
F444W 4.408 1.029 2022-06-07T06:51:02.295Z NRCBLONG 2048 2048 0.6422410011291504 0.6399023 jw02736001001_02105_00007_nrcblong_rate.fits 001 001 NIRCAM 837.468
F277W 2.762 0.683 2022-06-07T01:21:03.914Z NRCALONG 2048 2048 0.1968478113412857 0.19656256 jw02736001001_02101_00004_nrcalong_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T06:35:38.903Z NRCB3 2048 2048 0.083662815 0.082773164 jw02736001001_02105_00006_nrcb3_rate.fits 001 001 NIRCAM 837.468
F277W 2.762 0.683 2022-06-07T02:38:00.741Z NRCALONG 2048 2048 0.19533734 0.19507423 jw02736001001_02101_00009_nrcalong_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T02:56:26.340Z NRCB2 2048 2048 0.08345347 0.082719 jw02736001001_02103_00001_nrcb2_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T06:51:02.614Z NRCA1 2048 2048 0.08039287 0.07984285 jw02736001001_02105_00007_nrca1_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T04:29:07.999Z NRCB3 2048 2048 0.08334632962942123 0.0825756 jw02736001001_02103_00007_nrcb3_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T04:13:44.928Z NRCA1 2048 2048 0.08920025 0.08879692 jw02736001001_02103_00006_nrca1_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T05:49:29.114Z NRCA3 2048 2048 0.0822167620062828 0.08167838 jw02736001001_02105_00003_nrca3_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T07:06:25.942Z NRCA1 2048 2048 0.08026675 0.07968679 jw02736001001_02105_00008_nrca1_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T03:42:58.210Z NRCA2 2048 2048 0.0842754 0.0839466 jw02736001001_02103_00004_nrca2_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T05:33:54.715Z NRCB1 2048 2048 0.084648885 0.08323995 jw02736001001_02105_00002_nrcb1_rate.fits 001 001 NIRCAM 837.468
F200W 1.989 0.457 2022-06-07T07:21:49.013Z NRCB3 2048 2048 0.08617591112852097 0.0846818 jw02736001001_02105_00009_nrcb3_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T01:21:03.914Z NRCA4 2048 2048 0.06558769 0.06525367 jw02736001001_02101_00004_nrca4_rate.fits 001 001 NIRCAM 837.468
F090W 0.902 0.194 2022-06-07T01:51:50.376Z NRCB2 2048 2048 0.057249602 0.0568936 jw02736001001_02101_00006_nrcb2_rate.fits 001 001 NIRCAM 837.468
F150W 1.501 0.318 2022-06-07T04:13:44.672Z NRCB4 2048 2048 0.0997372418642044 0.09849055 jw02736001001_02103_00006_nrcb4_rate.fits 001 001 NIRCAM 837.468
