filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,PHOTMJSR,sb_mjsr
F200W,1.989,0.457,2022-06-07T06:20:15.832Z,NRCA4,2048,2048,0.08924553,0.08887725,jw02736001001_02105_00005_nrca4_rate.fits,1,1,NIRCAM,,
F090W,0.902,0.194,2022-06-07T02:22:37.094Z,NRCB3,2048,2048,0.0575181022286415,0.05707892,jw02736001001_02101_00008_nrcb3_rate.fits,1,1,NIRCAM,,
F090W,0.902,0.194,2022-06-07T01:05:40.267Z,NRCB1,2048,2048,0.0556577034294605,0.055091996,jw02736001001_02101_00003_nrcb1_rate.fits,1,1,NIRCAM,3.603,0.2005347054563462
F090W,0.902,0.194,2022-06-07T02:38:00.741Z,NRCA1,2048,2048,0.059007104,0.058777936,jw02736001001_02101_00009_nrca1_rate.fits,1,1,NIRCAM,,
F090W,0.902,0.194,2022-06-07T00:50:17.196Z,NRCA3,2048,2048,0.062175654,0.062012568,jw02736001001_02101_00002_nrca3_rate.fits,1,1,NIRCAM,,
F150W,1.501,0.318,2022-06-07T02:56:26.340Z,NRCB4,2048,2048,0.100865304,0.09974047,jw02736001001_02103_00001_nrcb4_rate.fits,1,1,NIRCAM,,
F090W,0.902,0.194,2022-06-07T00:34:53.548Z,NRCB2,2048,2048,0.056798577,0.056425992,jw02736001001_02101_00001_nrcb2_rate.fits,1,1,NIRCAM,,
F090W,0.902,0.194,2022-06-07T02:38:00.485Z,NRCB4,2048,2048,0.06071742,0.060319394,jw02736001001_02101_00009_nrcb4_rate.fits,1,1,NIRCAM,,
F090W,0.902,0.194,2022-06-07T01:05:40.523Z,NRCA4,2048,2048,0.06256375,0.06238278,jw02736001001_02101_00003_nrca4_rate.fits,1,1,NIRCAM,,
F200W,1.989,0.457,2022-06-07T06:20:15.512Z,NRCB1,2048,2048,0.08454201,0.08330414,jw02736001001_02105_00005_nrcb1_rate.fits,1,1,NIRCAM,2.1,0.177538221
F150W,1.501,0.318,2022-06-07T03:27:34.818Z,NRCA2,2048,2048,0.0849840566515922,0.08461117,jw02736001001_02103_00003_nrca2_rate.fits,1,1,NIRCAM,,
F200W,1.989,0.457,2022-06-07T06:04:52.505Z,NRCA3,2048,2048,0.08222336,0.08172184,jw02736001001_02105_00004_nrca3_rate.fits,1,1,NIRCAM,,
F150W,1.501,0.318,2022-06-07T04:59:54.717Z,NRCB2,2048,2048,0.08591431,0.08517365,jw02736001001_02103_00009_nrcb2_rate.fits,1,1,NIRCAM,,
F150W,1.501,0.318,2022-06-07T02:56:26.660Z,NRCA1,2048,2048,0.0861621871590614,0.08573991,jw02736001001_02103_00001_nrca1_rate.fits,1,1,NIRCAM,,
F200W,1.989,0.457,2022-06-07T06:51:02.231Z,NRCB2,2048,2048,0.0801853090524673,0.079307914,jw02736001001_02105_00007_nrcb2_rate.fits,1,1,NIRCAM,,
F150W,1.501,0.318,2022-06-07T04:13:44.608Z,NRCB2,2048,2048,0.0836511105298996,0.08283886,jw02736001001_02103_00006_nrcb2_rate.fits,1,1,NIRCAM,,
F200W,1.989,0.457,2022-06-07T05:18:31.324Z,NRCB3,2048,2048,0.08177679,0.080843754,jw02736001001_02105_00001_nrcb3_rate.fits,1,1,NIRCAM,,
F356W,3.568,0.781,2022-06-07T04:13:44.672Z,NRCBLONG,2048,2048,0.2879854142665863,0.28381035,jw02736001001_02103_00006_nrcblong_rate.fits,1,1,NIRCAM,0.351,0.10108288040757178
F090W,0.902,0.194,2022-06-07T01:51:50.376Z,NRCB4,2048,2048,0.0655044093728065,0.06494987,jw02736001001_02101_00006_nrcb4_rate.fits,1,1,NIRCAM,,
F150W,1.501,0.318,2022-06-07T03:42:57.890Z,NRCB1,2048,2048,0.08909048,0.08790111,jw02736001001_02103_00004_nrcb1_rate.fits,1,1,NIRCAM,2.301,0.20499719448
F200W,1.989,0.457,2022-06-07T05:33:55.035Z,NRCA2,2048,2048,0.0737419873476028,0.073458344,jw02736001001_02105_00002_nrca2_rate.fits,1,1,NIRCAM,,
F150W,1.501,0.318,2022-06-07T03:58:21.537Z,NRCA3,2048,2048,0.086852536,0.08651827,jw02736001001_02103_00005_nrca3_rate.fits,1,1,NIRCAM,,
F444W,4.408,1.029,2022-06-07T07:21:49.013Z,NRCBLONG,2048,2048,0.6438724398612976,0.6418488,jw02736001001_02105_00009_nrcblong_rate.fits,1,1,NIRCAM,0.343,0.2208482468724251
F200W,1.989,0.457,2022-06-07T07:06:25.622Z,NRCB2,2048,2048,0.0790966153144836,0.078312576,jw02736001001_02105_00008_nrcb2_rate.fits,1,1,NIRCAM,,
