filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,PHOTMJSR,sb_mjsr
F070W,0.704,0.132,2022-04-29T09:19:24.886Z,NRCB2,2048,2048,0.1270136088132858,0.12513314,jw01448008001_02101_00002_nrcb2_rate.fits,8,1,NIRCAM,4.3669,0.5546557283267378
F444W,4.408,1.029,2022-05-06T03:03:19.269Z,NRCBLONG,2048,2048,0.6665162444114685,0.66413814,jw01448004001_04101_00002_nrcblong_rate.fits,4,1,NIRCAM,0.3728,0.24847725591659547
F150W,1.501,0.318,2022-04-29T10:06:07.187Z,NRCB1,2048,2048,0.7181333303451538,0.65072554,jw01448008001_08101_00002_nrcb1_rate.fits,8,1,NIRCAM,2.4124,1.732424846124649
F480M,4.874,0.3,2022-04-29T07:19:03.709Z,NRCBLONG,2048,2048,0.2767312526702881,0.27616438,jw01448002001_08101_00001_nrcblong_rate.fits,2,1,NIRCAM,1.4584,0.40358485889434814
F200W,1.989,0.457,2022-04-29T06:51:19.519Z,NRCB1,2048,2048,0.0721340328454971,0.07168929,jw01448002001_04101_00002_nrcb1_rate.fits,2,1,NIRCAM,2.0223,0.1458766546234488
F200W,1.989,0.457,2022-05-05T23:58:33.200Z,NRCB4,2048,2048,0.0866670310497284,0.08593765,jw01448003001_04101_00001_nrcb4_rate.fits,3,1,NIRCAM,1.7715,0.15353064550459386
F150W,1.501,0.318,2022-04-29T12:16:18.124Z,NRCB2,2048,2048,0.19127955,0.1906274,jw01448007001_08101_00002_nrcb2_rate.fits,7,1,NIRCAM,2.3054,0.44097587457
F115W,1.154,0.225,2022-05-02T19:20:49.726Z,NRCB1,2048,2048,0.2763303518295288,0.27114725,jw01448001001_06101_00002_nrcb1_rate.fits,1,1,NIRCAM,3.2719,0.9041252781510353
F444W,4.408,1.029,2022-05-06T05:22:38.429Z,NRCBLONG,2048,2048,0.71038824,0.7070639,jw01448006001_04101_00001_nrcblong_rate.fits,6,1,NIRCAM,0.3728,0.264832735872
F070W,0.704,0.132,2022-05-06T05:07:15.102Z,NRCB4,2048,2048,0.0295529,0.028193898,jw01448006001_02101_00001_nrcb4_rate.fits,6,1,NIRCAM,3.798,0.1122419142
F070W,0.704,0.132,2022-04-29T11:29:14.319Z,NRCB1,2048,2048,0.0904016494750976,0.09000498,jw01448007001_02101_00002_nrcb1_rate.fits,7,1,NIRCAM,4.474,0.4044569797515867
F070W,0.704,0.132,2022-05-03T00:14:57.325Z,NRCB2,2048,2048,0.03821823,0.03749552,jw01448005001_02101_00003_nrcb2_rate.fits,5,1,NIRCAM,4.3669,0.166895188587
F150W,1.501,0.318,2022-04-29T07:19:03.709Z,NRCB3,2048,2048,0.0870401859283447,0.086542524,jw01448002001_08101_00001_nrcb3_rate.fits,2,1,NIRCAM,2.3518,0.20470110926628104
F150W,1.501,0.318,2022-05-03T01:01:50.442Z,NRCB1,2048,2048,0.090522066,0.08877837,jw01448005001_08101_00003_nrcb1_rate.fits,5,1,NIRCAM,2.4124,0.21837543201839998
F115W,1.154,0.225,2022-05-06T00:22:31.919Z,NRCB2,2048,2048,0.056218047,0.055851318,jw01448003001_06101_00003_nrcb2_rate.fits,3,1,NIRCAM,3.1282,0.1758612946254
F444W,4.408,1.029,2022-05-06T02:59:23.046Z,NRCBLONG,2048,2048,0.66396236,0.6615223,jw01448004001_04101_00001_nrcblong_rate.fits,4,1,NIRCAM,0.3728,0.247525167808
F070W,0.704,0.132,2022-05-03T00:07:04.941Z,NRCB1,2048,2048,0.04175905,0.040589634,jw01448005001_02101_00001_nrcb1_rate.fits,5,1,NIRCAM,4.474,0.1868299897
F444W,4.408,1.029,2022-05-06T05:26:34.653Z,NRCBLONG,2048,2048,0.6897841,0.6863651,jw01448006001_04101_00002_nrcblong_rate.fits,6,1,NIRCAM,0.3728,0.25715151248
F070W,0.704,0.132,2022-04-29T06:39:52.288Z,NRCB3,2048,2048,0.021481797,0.020389609,jw01448002001_02101_00003_nrcb3_rate.fits,2,1,NIRCAM,4.4344,0.0952588806168
F070W,0.704,0.132,2022-05-06T02:47:45.191Z,NRCB4,2048,2048,0.04157013,0.040808383,jw01448004001_02101_00002_nrcb4_rate.fits,4,1,NIRCAM,3.798,0.15788335373999998
F200W,1.989,0.457,2022-04-29T09:30:51.989Z,NRCB3,2048,2048,1.1129902601242063,0.9449396,jw01448008001_04101_00001_nrcb3_rate.fits,8,1,NIRCAM,1.9572,2.1783445371150965
F115W,1.154,0.225,2022-05-06T00:14:39.471Z,NRCB1,2048,2048,0.0490847900509834,0.04860578,jw01448003001_06101_00001_nrcb1_rate.fits,3,1,NIRCAM,3.2719,0.1606005245678126
F115W,1.154,0.225,2022-05-06T03:23:21.828Z,NRCB3,2048,2048,0.068103485,0.06738929,jw01448004001_06101_00003_nrcb3_rate.fits,4,1,NIRCAM,3.1863,0.21699813425550002
F480M,4.874,0.3,2022-04-29T07:22:59.933Z,NRCBLONG,2048,2048,0.25145805,0.25077844,jw01448002001_08101_00002_nrcblong_rate.fits,2,1,NIRCAM,1.4584,0.36672642011999995
F150W,1.501,0.318,2022-05-03T00:53:47.242Z,NRCB2,2048,2048,0.09215656,0.09134238,jw01448005001_08101_00001_nrcb2_rate.fits,5,1,NIRCAM,2.3054,0.212457733424
F200W,1.989,0.457,2022-05-02T19:04:54.143Z,NRCB4,2048,2048,1.202850341796875,1.0350884,jw01448001001_04101_00002_nrcb4_rate.fits,1,1,NIRCAM,1.7715,2.130849380493164
F200W,1.989,0.457,2022-04-29T11:48:33.869Z,NRCB3,2048,2048,0.1900759637355804,0.18928924,jw01448007001_04101_00003_nrcb3_rate.fits,7,1,NIRCAM,1.9572,0.37201667622327794
F115W,1.154,0.225,2022-04-29T07:07:25.790Z,NRCB4,2048,2048,0.0600127428770065,0.059197716,jw01448002001_06101_00002_nrcb4_rate.fits,2,1,NIRCAM,2.6985,0.16194438665360206
F200W,1.989,0.457,2022-05-06T05:30:30.877Z,NRCB2,2048,2048,0.076602,0.07518832,jw01448006001_04101_00003_nrcb2_rate.fits,6,1,NIRCAM,1.9519,0.1495194438
F356W,3.568,0.781,2022-04-29T12:04:50.956Z,NRCBLONG,2048,2048,0.5942699313163757,0.5926987,jw01448007001_06101_00003_nrcblong_rate.fits,7,1,NIRCAM,0.376,0.22344549417495727
F150W,1.501,0.318,2022-05-06T00:38:05.998Z,NRCB1,2048,2048,0.062252034,0.06173957,jw01448003001_08101_00003_nrcb1_rate.fits,3,1,NIRCAM,2.4124,0.15017680682159998
F150W,1.501,0.318,2022-05-06T03:30:52.772Z,NRCB3,2048,2048,0.065647416,0.06473034,jw01448004001_08101_00001_nrcb3_rate.fits,4,1,NIRCAM,2.3518,0.1543895929488
F277W,2.762,0.683,2022-05-06T05:15:07.486Z,NRCBLONG,2048,2048,0.20901066,0.2054271,jw01448006001_02101_00003_nrcblong_rate.fits,6,1,NIRCAM,0.4175,0.08726195055
F115W,1.154,0.225,2022-05-03T00:46:16.299Z,NRCB2,2048,2048,0.0623146072030067,0.06168168,jw01448005001_06101_00003_nrcb2_rate.fits,5,1,NIRCAM,3.1282,0.19493255425244557
