detector,filtername,observtn,wave,filtwidth,x,y,median,median_clipped,visit,PHOTMJSR,sb_mjsr,sb_mjsr_std,shortdet
NRCB1,F070W,1,0.704,0.132,2048.0,2048.0,0.1074897944927215,0.10679013,1.0,4.474,0.48090934056043605,0.03328313342556127,B1
NRCB1,F070W,2,0.704,0.132,2048.0,2048.0,0.0367034263908863,0.03588633,1.0,4.474,0.1642111296728253,0.03514830013515964,B1
NRCB1,F070W,3,0.704,0.132,2048.0,2048.0,0.0232949666678905,0.021980649,1.0,4.474,0.1042216808721421,0.021624462835911875,B1
NRCB1,F070W,4,0.704,0.132,2048.0,2048.0,0.0423759408295154,0.04145614,1.0,4.474,0.1895899592712519,0.0226282522590329,B1
NRCB1,F070W,5,0.704,0.132,2048.0,2048.0,0.04175905,0.040589634,1.0,4.474,0.1868299897,0.0333015061815603,B1
NRCB1,F070W,6,0.704,0.132,2048.0,2048.0,0.03972681,0.03871344,1.0,4.474,0.17773774794000002,0.01785767928814085,B1
NRCB1,F070W,7,0.704,0.132,2048.0,2048.0,0.090497114,0.09004471,1.0,4.474,0.404884088036,0.004880354739686922,B1
NRCB1,F070W,8,0.704,0.132,2048.0,2048.0,0.1060966700315475,0.10469263,1.0,4.474,0.47467650172114356,0.040639240985771236,B1
NRCB1,F115W,1,1.154,0.225,2048.0,2048.0,0.278491,0.27405915,1.0,3.2719,0.9111947028999999,0.050427934307778234,B1
NRCB1,F115W,2,1.154,0.225,2048.0,2048.0,0.0526221618056297,0.05213502,1.0,3.2719,0.17217445121183983,0.0161322010948102,B1
NRCB1,F115W,3,1.154,0.225,2048.0,2048.0,0.0561856105923652,0.055641536,1.0,3.2719,0.1838336992971597,0.013554849209191219,B1
NRCB1,F115W,4,1.154,0.225,2048.0,2048.0,0.068049669265747,0.067399174,1.0,3.2719,0.22265171287059762,0.011272561220237417,B1
NRCB1,F115W,5,1.154,0.225,2048.0,2048.0,0.066305734,0.06546205,1.0,3.2719,0.21694573107460002,0.04607285040937606,B1
NRCB1,F115W,6,1.154,0.225,2048.0,2048.0,0.046430837,0.04505336,1.0,3.2719,0.1519170555803,0.05848270129399685,B1
NRCB1,F115W,7,1.154,0.225,2048.0,2048.0,0.1476291120052337,0.14708948,1.0,3.2719,0.4830276915699242,0.06548324960849498,B1
NRCB1,F115W,8,1.154,0.225,2048.0,2048.0,0.37261847,0.35264012,1.0,3.2719,1.219170371993,0.016408395574502625,B1
NRCB1,F150W,1,1.501,0.318,2048.0,2048.0,0.6348445415496826,0.6090573,1.0,2.4124,1.5314989720344543,0.02159238207316324,B1
NRCB1,F150W,2,1.501,0.318,2048.0,2048.0,0.0871880054473877,0.08656652,1.0,2.4124,0.21033234434127807,0.021723785343417703,B1
NRCB1,F150W,3,1.501,0.318,2048.0,2048.0,0.068797618150711,0.06819141,1.0,2.4124,0.16596737402677522,0.030401069241578097,B1
NRCB1,F150W,4,1.501,0.318,2048.0,2048.0,0.07673306,0.07589495,1.0,2.4124,0.185110833944,0.0058014865765441,B1
NRCB1,F150W,5,1.501,0.318,2048.0,2048.0,0.083693042397499,0.0824782,1.0,2.4124,0.20190109547972657,0.013647717353399928,B1
NRCB1,F150W,6,1.501,0.318,2048.0,2048.0,0.07876477,0.077519655,1.0,2.4124,0.19001213114799997,0.012052887662189421,B1
NRCB1,F150W,7,1.501,0.318,2048.0,2048.0,0.1925930678844452,0.191873,1.0,2.4124,0.46461151696443553,0.020890778356423,B1
