filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument
F115W 1.154 0.225 2022-04-29T12:04:50.956Z NRCB4 2048 2048 0.15543224 0.15495569 jw01448007001_06101_00003_nrcb4_rate.fits 007 001 NIRCAM
F200W 1.989 0.457 2022-04-29T06:51:19.455Z NRCB3 2048 2048 0.08797388 0.08710354 jw01448002001_04101_00002_nrcb3_rate.fits 002 001 NIRCAM
F070W 0.704 0.132 2022-04-29T11:29:14.319Z NRCB3 2048 2048 0.09437341243028641 0.09391471 jw01448007001_02101_00002_nrcb3_rate.fits 007 001 NIRCAM
F480M 4.874 0.3 2022-05-03T00:57:54.218Z NRCBLONG 2048 2048 0.25527874 0.25441873 jw01448005001_08101_00002_nrcblong_rate.fits 005 001 NIRCAM
F070W 0.704 0.132 2022-05-02T18:53:16.287Z NRCB4 2048 2048 0.118549496 0.1176477 jw01448001001_02101_00003_nrcb4_rate.fits 001 001 NIRCAM
F115W 1.154 0.225 2022-04-29T09:46:47.637Z NRCB4 2048 2048 0.44813698530197144 0.41767442 jw01448008001_06101_00001_nrcb4_rate.fits 008 001 NIRCAM
F150W 1.501 0.318 2022-04-29T10:10:03.411Z NRCB4 2048 2048 0.8626817 0.755488 jw01448008001_08101_00003_nrcb4_rate.fits 008 001 NIRCAM
F277W 2.762 0.683 2022-05-02T18:53:16.287Z NRCBLONG 2048 2048 5.681803 4.6325593 jw01448001001_02101_00003_nrcblong_rate.fits 001 001 NIRCAM
F070W 0.704 0.132 2022-05-06T05:11:11.262Z NRCB2 2048 2048 0.053533464670181274 0.05272538 jw01448006001_02101_00002_nrcb2_rate.fits 006 001 NIRCAM
F200W 1.989 0.457 2022-05-06T00:02:29.360Z NRCB2 2048 2048 0.06287132948637009 0.062393904 jw01448003001_04101_00002_nrcb2_rate.fits 003 001 NIRCAM
F150W 1.501 0.318 2022-04-29T12:12:21.900Z NRCB4 2048 2048 0.21807336807250977 0.21737483 jw01448007001_08101_00001_nrcb4_rate.fits 007 001 NIRCAM
F277W 2.762 0.683 2022-04-29T09:15:28.662Z NRCBLONG 2048 2048 4.734548568725586 3.762876 jw01448008001_02101_00001_nrcblong_rate.fits 008 001 NIRCAM
F150W 1.501 0.318 2022-05-06T05:58:04.315Z NRCB1 2048 2048 0.07876477 0.077519655 jw01448006001_08101_00002_nrcb1_rate.fits 006 001 NIRCAM
F070W 0.704 0.132 2022-04-29T11:33:10.542Z NRCB4 2048 2048 0.12283104658126831 0.12240242 jw01448007001_02101_00003_nrcb4_rate.fits 007 001 NIRCAM
F070W 0.704 0.132 2022-05-02T18:49:20.064Z NRCB3 2048 2048 0.1100495457649231 0.10906908 jw01448001001_02101_00002_nrcb3_rate.fits 001 001 NIRCAM
F070W 0.704 0.132 2022-04-29T09:15:28.662Z NRCB4 2048 2048 0.123994835 0.1203167 jw01448008001_02101_00001_nrcb4_rate.fits 008 001 NIRCAM
F115W 1.154 0.225 2022-05-02T19:24:45.950Z NRCB4 2048 2048 0.3489150106906891 0.3420567 jw01448001001_06101_00003_nrcb4_rate.fits 001 001 NIRCAM
F200W 1.989 0.457 2022-05-06T03:03:19.269Z NRCB3 2048 2048 0.08126011490821838 0.080397606 jw01448004001_04101_00002_nrcb3_rate.fits 004 001 NIRCAM
F200W 1.989 0.457 2022-04-29T06:55:15.679Z NRCB4 2048 2048 0.10443158 0.103522584 jw01448002001_04101_00003_nrcb4_rate.fits 002 001 NIRCAM
F115W 1.154 0.225 2022-04-29T12:00:54.733Z NRCB3 2048 2048 0.13079558 0.13030852 jw01448007001_06101_00002_nrcb3_rate.fits 007 001 NIRCAM
F150W 1.501 0.318 2022-05-06T00:38:05.998Z NRCB3 2048 2048 0.06867861 0.06809742 jw01448003001_08101_00003_nrcb3_rate.fits 003 001 NIRCAM
F277W 2.762 0.683 2022-04-29T09:19:24.886Z NRCBLONG 2048 2048 4.730711936950684 3.7590263 jw01448008001_02101_00002_nrcblong_rate.fits 008 001 NIRCAM
F150W 1.501 0.318 2022-05-06T03:30:52.772Z NRCB1 2048 2048 0.07526324 0.07446253 jw01448004001_08101_00001_nrcb1_rate.fits 004 001 NIRCAM
F115W 1.154 0.225 2022-04-29T07:03:29.630Z NRCB2 2048 2048 0.05541662 0.05506351 jw01448002001_06101_00001_nrcb2_rate.fits 002 001 NIRCAM
F150W 1.501 0.318 2022-05-03T00:57:54.218Z NRCB4 2048 2048 0.12088865041732788 0.119162805 jw01448005001_08101_00002_nrcb4_rate.fits 005 001 NIRCAM
F200W 1.989 0.457 2022-05-02T19:00:57.983Z NRCB2 2048 2048 1.127767 0.94998634 jw01448001001_04101_00001_nrcb2_rate.fits 001 001 NIRCAM
F070W 0.704 0.132 2022-05-06T02:43:48.967Z NRCB2 2048 2048 0.030050091445446014 0.0293306 jw01448004001_02101_00001_nrcb2_rate.fits 004 001 NIRCAM
F115W 1.154 0.225 2022-04-29T07:11:22.014Z NRCB1 2048 2048 0.0520026721060276 0.051505398 jw01448002001_06101_00003_nrcb1_rate.fits 002 001 NIRCAM
F115W 1.154 0.225 2022-05-03T00:38:23.851Z NRCB3 2048 2048 0.06648644804954529 0.06551022 jw01448005001_06101_00001_nrcb3_rate.fits 005 001 NIRCAM
F150W 1.501 0.318 2022-05-06T03:38:45.219Z NRCB2 2048 2048 0.09033863246440887 0.08935721 jw01448004001_08101_00003_nrcb2_rate.fits 004 001 NIRCAM
F277W 2.762 0.683 2022-05-05T23:51:02.257Z NRCBLONG 2048 2048 0.20378594 0.20218515 jw01448003001_02101_00003_nrcblong_rate.fits 003 001 NIRCAM
F200W 1.989 0.457 2022-05-06T05:22:38.429Z NRCB3 2048 2048 0.07832401 0.07681471 jw01448006001_04101_00001_nrcb3_rate.fits 006 001 NIRCAM
F200W 1.989 0.457 2022-05-02T19:08:50.366Z NRCB1 2048 2048 1.1115416 1.0052481 jw01448001001_04101_00003_nrcb1_rate.fits 001 001 NIRCAM
F356W 3.568 0.781 2022-04-29T07:11:22.014Z NRCBLONG 2048 2048 0.2420139 0.24016128 jw01448002001_06101_00003_nrcblong_rate.fits 002 001 NIRCAM
F070W 0.704 0.132 2022-05-06T02:51:41.350Z NRCB1 2048 2048 0.038989957 0.03802667 jw01448004001_02101_00003_nrcb1_rate.fits 004 001 NIRCAM
F070W 0.704 0.132 2022-05-05T23:43:09.809Z NRCB3 2048 2048 0.031685542315244675 0.030969024 jw01448003001_02101_00001_nrcb3_rate.fits 003 001 NIRCAM
F200W 1.989 0.457 2022-04-29T09:38:44.501Z NRCB2 2048 2048 1.1037707328796387 0.92576087 jw01448008001_04101_00003_nrcb2_rate.fits 008 001 NIRCAM
F070W 0.704 0.132 2022-04-29T06:31:59.904Z NRCB2 2048 2048 0.03929738700389862 0.038481973 jw01448002001_02101_00001_nrcb2_rate.fits 002 001 NIRCAM
F444W 4.408 1.029 2022-05-06T00:02:29.424Z NRCBLONG 2048 2048 0.6061276 0.6040904 jw01448003001_04101_00002_nrcblong_rate.fits 003 001 NIRCAM
F200W 1.989 0.457 2022-04-29T11:40:41.486Z NRCB2 2048 2048 0.16236022 0.16163717 jw01448007001_04101_00001_nrcb2_rate.fits 007 001 NIRCAM
F150W 1.501 0.318 2022-05-06T00:34:09.838Z NRCB4 2048 2048 0.08055118471384048 0.07984129 jw01448003001_08101_00002_nrcb4_rate.fits 003 001 NIRCAM
F150W 1.501 0.318 2022-04-29T07:19:03.709Z NRCB1 2048 2048 0.0871880054473877 0.08656652 jw01448002001_08101_00001_nrcb1_rate.fits 002 001 NIRCAM
F150W 1.501 0.318 2022-05-03T01:01:50.378Z NRCB3 2048 2048 0.0800410583615303 0.07874527 jw01448005001_08101_00003_nrcb3_rate.fits 005 001 NIRCAM
F480M 4.874 0.3 2022-04-29T12:16:18.124Z NRCBLONG 2048 2048 0.67360216 0.67265236 jw01448007001_08101_00002_nrcblong_rate.fits 007 001 NIRCAM
F115W 1.154 0.225 2022-05-06T03:15:29.381Z NRCB2 2048 2048 0.045179449021816254 0.044194877 jw01448004001_06101_00001_nrcb2_rate.fits 004 001 NIRCAM
F480M 4.874 0.3 2022-05-03T00:53:47.242Z NRCBLONG 2048 2048 0.2657926082611084 0.2648641 jw01448005001_08101_00001_nrcblong_rate.fits 005 001 NIRCAM
F200W 1.989 0.457 2022-04-29T09:30:52.053Z NRCB1 2048 2048 1.0847644 0.94787645 jw01448008001_04101_00001_nrcb1_rate.fits 008 001 NIRCAM
F444W 4.408 1.029 2022-04-29T09:38:44.437Z NRCBLONG 2048 2048 7.184905 6.3772798 jw01448008001_04101_00003_nrcblong_rate.fits 008 001 NIRCAM
F070W 0.704 0.132 2022-05-03T00:07:04.877Z NRCB3 2048 2048 0.047558367 0.046390373 jw01448005001_02101_00001_nrcb3_rate.fits 005 001 NIRCAM
F070W 0.704 0.132 2022-04-29T06:39:52.352Z NRCB1 2048 2048 0.03670342639088631 0.03588633 jw01448002001_02101_00003_nrcb1_rate.fits 002 001 NIRCAM
F200W 1.989 0.457 2022-04-29T11:48:33.933Z NRCB1 2048 2048 0.16525325179100037 0.16456151 jw01448007001_04101_00003_nrcb1_rate.fits 007 001 NIRCAM
F444W 4.408 1.029 2022-05-02T19:00:57.919Z NRCBLONG 2048 2048 11.202889 9.870884 jw01448001001_04101_00001_nrcblong_rate.fits 001 001 NIRCAM
F115W 1.154 0.225 2022-05-06T00:14:39.535Z NRCB3 2048 2048 0.05518735945224762 0.05478712 jw01448003001_06101_00001_nrcb3_rate.fits 003 001 NIRCAM
F115W 1.154 0.225 2022-05-06T03:23:21.828Z NRCB1 2048 2048 0.06861865520477295 0.0678771 jw01448004001_06101_00003_nrcb1_rate.fits 004 001 NIRCAM
F150W 1.501 0.318 2022-04-29T07:26:56.157Z NRCB2 2048 2048 0.050853244960308075 0.050163202 jw01448002001_08101_00003_nrcb2_rate.fits 002 001 NIRCAM
F070W 0.704 0.132 2022-04-29T09:23:21.110Z NRCB1 2048 2048 0.10080883651971817 0.0992995 jw01448008001_02101_00003_nrcb1_rate.fits 008 001 NIRCAM
F115W 1.154 0.225 2022-05-06T05:46:37.212Z NRCB3 2048 2048 0.05844118073582649 0.05690721 jw01448006001_06101_00003_nrcb3_rate.fits 006 001 NIRCAM
F115W 1.154 0.225 2022-05-02T19:16:53.566Z NRCB1 2048 2048 0.278491 0.27405915 jw01448001001_06101_00001_nrcb1_rate.fits 001 001 NIRCAM
F200W 1.989 0.457 2022-05-06T00:02:29.424Z NRCB4 2048 2048 0.06928899884223938 0.0687813 jw01448003001_04101_00002_nrcb4_rate.fits 003 001 NIRCAM
F150W 1.501 0.318 2022-04-29T12:12:21.900Z NRCB2 2048 2048 0.18276649713516235 0.18203326 jw01448007001_08101_00001_nrcb2_rate.fits 007 001 NIRCAM
F200W 1.989 0.457 2022-04-29T06:47:23.295Z NRCB1 2048 2048 0.07603014 0.07551446 jw01448002001_04101_00001_nrcb1_rate.fits 002 001 NIRCAM
F200W 1.989 0.457 2022-05-03T00:30:20.716Z NRCB3 2048 2048 0.09081105 0.089251265 jw01448005001_04101_00003_nrcb3_rate.fits 005 001 NIRCAM
F150W 1.501 0.318 2022-04-29T10:10:03.411Z NRCB2 2048 2048 0.7390365 0.65200156 jw01448008001_08101_00003_nrcb2_rate.fits 008 001 NIRCAM
F070W 0.704 0.132 2022-04-29T11:25:18.095Z NRCB1 2048 2048 0.09233693778514862 0.09182416 jw01448007001_02101_00001_nrcb1_rate.fits 007 001 NIRCAM
F070W 0.704 0.132 2022-05-06T05:11:11.326Z NRCB4 2048 2048 0.05793909728527069 0.056658298 jw01448006001_02101_00002_nrcb4_rate.fits 006 001 NIRCAM
F150W 1.501 0.318 2022-04-29T12:20:14.348Z NRCB1 2048 2048 0.18495357036590576 0.18409576 jw01448007001_08101_00003_nrcb1_rate.fits 007 001 NIRCAM
F480M 4.874 0.3 2022-05-02T19:39:58.589Z NRCBLONG 2048 2048 3.0594687 2.7480118 jw01448001001_08101_00003_nrcblong_rate.fits 001 001 NIRCAM
F070W 0.704 0.132 2022-04-29T09:15:28.662Z NRCB2 2048 2048 0.11533942 0.113377124 jw01448008001_02101_00001_nrcb2_rate.fits 008 001 NIRCAM
F115W 1.154 0.225 2022-05-02T19:24:45.950Z NRCB2 2048 2048 0.30271143 0.2950647 jw01448001001_06101_00003_nrcb2_rate.fits 001 001 NIRCAM
F200W 1.989 0.457 2022-04-29T06:55:15.679Z NRCB2 2048 2048 0.07328883558511734 0.072454534 jw01448002001_04101_00003_nrcb2_rate.fits 002 001 NIRCAM
F444W 4.408 1.029 2022-05-03T00:30:20.716Z NRCBLONG 2048 2048 0.6029314994812012 0.59967905 jw01448005001_04101_00003_nrcblong_rate.fits 005 001 NIRCAM
F070W 0.704 0.132 2022-04-29T11:33:10.542Z NRCB2 2048 2048 0.10055665671825409 0.10012387 jw01448007001_02101_00003_nrcb2_rate.fits 007 001 NIRCAM
F150W 1.501 0.318 2022-04-29T10:02:11.028Z NRCB1 2048 2048 0.73667747 0.66968656 jw01448008001_08101_00001_nrcb1_rate.fits 008 001 NIRCAM
F480M 4.874 0.3 2022-04-29T10:02:10.964Z NRCBLONG 2048 2048 1.9025324583053589 1.7304788 jw01448008001_08101_00001_nrcblong_rate.fits 008 001 NIRCAM
F070W 0.704 0.132 2022-05-02T18:45:23.840Z NRCB1 2048 2048 0.10287553 0.1021655 jw01448001001_02101_00001_nrcb1_rate.fits 001 001 NIRCAM
