filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F090W 0.902 0.194 2022-08-26T01:32:59.127Z NRCA3 2048 2048 0.057825208 0.057573054 jw02738002001_04101_00004_nrca3_rate.fits 002 001 NIRCAM 730.1
F200W 1.989 0.457 2022-08-26T02:29:31.824Z NRCB3 2048 2048 0.07080677151679993 0.07026046 jw02738002001_08101_00001_nrcb3_rate.fits 002 001 NIRCAM 418.734
F277W 2.762 0.683 2022-08-26T04:32:38.699Z NRCBLONG 2048 2048 0.18617694 0.18506414 jw02738002001_12101_00004_nrcblong_rate.fits 002 001 NIRCAM 418.734
F115W 1.154 0.225 2022-08-26T03:21:36.169Z NRCB2 2048 2048 0.060808975 0.0605816 jw02738002001_10101_00002_nrcb2_rate.fits 002 001 NIRCAM 730.1
F200W 1.989 0.457 2022-08-26T02:37:56.530Z NRCA2 2048 2048 0.058473553508520126 0.05835563 jw02738002001_08101_00002_nrca2_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T01:59:49.564Z NRCB4 2048 2048 0.09152227 0.09066448 jw02738002001_06101_00002_nrcb4_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T00:30:42.625Z NRCB3 2048 2048 0.07423005998134613 0.07364355 jw02738002001_02101_00003_nrcb3_rate.fits 002 001 NIRCAM 418.734
F115W 1.154 0.225 2022-08-26T03:07:49.546Z NRCA3 2048 2048 0.05937404930591583 0.059033785 jw02738002001_10101_00001_nrca3_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-26T00:22:18.114Z NRCA1 2048 2048 0.07830400764942169 0.07805603 jw02738002001_02101_00002_nrca1_rate.fits 002 001 NIRCAM 418.734
F356W 3.568 0.781 2022-08-26T02:08:14.268Z NRCALONG 2048 2048 0.21383240818977356 0.21352303 jw02738002001_06101_00003_nrcalong_rate.fits 002 001 NIRCAM 418.734
F444W 4.408 1.029 2022-08-26T01:32:58.999Z NRCBLONG 2048 2048 0.6919452548027039 0.69213486 jw02738002001_04101_00004_nrcblong_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-26T00:22:17.986Z NRCB4 2048 2048 0.0871334 0.08626213 jw02738002001_02101_00002_nrcb4_rate.fits 002 001 NIRCAM 418.734
F410M 4.082 0.438 2022-08-26T03:35:23.048Z NRCALONG 2048 2048 0.16500524 0.16515715 jw02738002001_10101_00003_nrcalong_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-26T01:59:49.628Z NRCA1 2048 2048 0.06606370210647583 0.06585547 jw02738002001_06101_00002_nrca1_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T02:08:14.204Z NRCB3 2048 2048 0.0780177 0.07745381 jw02738002001_06101_00003_nrcb3_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T04:07:14.093Z NRCB2 2048 2048 0.0687970519065857 0.068327464 jw02738002001_12101_00001_nrcb2_rate.fits 002 001 NIRCAM 418.734
F115W 1.154 0.225 2022-08-26T03:49:09.671Z NRCB4 2048 2048 0.06908001750707626 0.06844733 jw02738002001_10101_00004_nrcb4_rate.fits 002 001 NIRCAM 730.1
F356W 3.568 0.781 2022-08-26T00:30:42.625Z NRCBLONG 2048 2048 0.2419217 0.24079658 jw02738002001_02101_00003_nrcblong_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T02:16:38.779Z NRCB2 2048 2048 0.06920357048511505 0.06871771 jw02738002001_06101_00004_nrcb2_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T02:54:56.497Z NRCA4 2048 2048 0.07354414 0.07306093 jw02738002001_08101_00004_nrca4_rate.fits 002 001 NIRCAM 418.734
F356W 3.568 0.781 2022-08-30T04:32:14.282Z NRCALONG 2048 2048 0.21315196 0.21277294 jw02738002002_02101_00002_nrcalong_rate.fits 002 002 NIRCAM 418.734
F090W 0.902 0.194 2022-08-26T00:52:11.066Z NRCB4 2048 2048 0.057846807 0.05750297 jw02738002001_04101_00001_nrcb4_rate.fits 002 001 NIRCAM 730.1
F200W 1.989 0.457 2022-08-26T04:24:14.060Z NRCB1 2048 2048 0.07654007524251938 0.076087736 jw02738002001_12101_00003_nrcb1_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T04:15:49.548Z NRCA3 2048 2048 0.07167038321495056 0.071154304 jw02738002001_12101_00002_nrca3_rate.fits 002 001 NIRCAM 418.734
F444W 4.408 1.029 2022-08-26T00:52:00.378Z NRCALONG 2048 2048 0.6674013137817383 0.67116743 jw02738002001_04101_00001_nrcalong_rate.fits 002 001 NIRCAM 730.1
